url,local,nombre_show,n_opiniones,num_paginas
/entradas/todos-locos-un-monologo-sobre-salud-mental-de-jorge-santos_e4900740/,El Sombrerero Comedy Club,Todos Locos Un Monologo Sobre Salud Mental De Jorge Santos,48,5
/entradas/femininity-un-show-de-patri-munoz_e4880594/,El Golfo Comedy Club,Femininity Un Show De Patri Munoz,43,5
/entradas/mangos-y-papayas_e4896197/,Estupenda Bar,Mangos Y Papayas,87,9
/entradas/bestia-parda-un-show-de-patxi-zubeldia_e4895280/,El Sombrerero Comedy Club,Bestia Parda Un Show De Patxi Zubeldia,70,8
/entradas/alberto-sierra-de-profesion-gafas-_e4867461/,El Golfo Comedy Club,Alberto Sierra De Profesion Gafas ,1016,102
/entradas/me-cago-en-el-whatsapp-el-monologo_e4896946/,Clandestino Café Teatro,Me Cago En El Whatsapp El Monologo,751,76
/entradas/monologueo-de-mediodia_e4856069/,El Golfo Comedy Club,Monologueo De Mediodia,155,16
/entradas/la-cueva-comedy-club-open-mic_e4811010/,Teatro de las Aguas,La Cueva Comedy Club Open Mic,323,33
/entradas/albert-boira-que-nos-pille-viviendo_e4860732/,El Golfo Comedy Club,Albert Boira Que Nos Pille Viviendo,29,3
/entradas/par-de-notas-alvaro-seko-y-fernando-el-pelao-_e4842303/,Teatro Chocita del Loro - Gran Vía,Par De Notas Alvaro Seko Y Fernando El Pelao ,1063,107
/entradas/borderline-nico-lozano_e4857211/,Teatro de las Aguas,Borderline Nico Lozano,53,6
/entradas/cincuentaneras_e4887833/,Clandestino Café Teatro,Cincuentaneras,1015,102
/entradas/goloso-de-micro-_e4855953/,El Golfo Comedy Club,Goloso De Micro ,10134,1014
/entradas/miguel-sincero-pikaro_e4840680/,Teatro Chocita del Loro - Gran Vía,Miguel Sincero Pikaro,15,2
/entradas/dano-el-tercer-monologo-de-diego-dano_e4855957/,El Golfo Comedy Club,Dano El Tercer Monologo De Diego Dano,298,30
/entradas/luismi-colocado-cabe-4-0_e92891/,Teatro Chocita del Loro - Gran Vía,Luismi Colocado Cabe 4 0,287,29
/entradas/carles-cuevas-y-fer-bleda-maric-n-y-tontic-_e4877305/,El Golfo Comedy Club,Carles Cuevas Y Fer Bleda Maric N Y Tontic ,1032,104
/entradas/eden-serrano-de-aqui-no-sale_e4897978/,El Golfo Comedy Club,Eden Serrano De Aqui No Sale,36,4
/entradas/malasanero-para-principantes-de-manu-kas_e4830294/,Teatro de las Aguas,Malasanero Para Principantes De Manu Kas,164,17
/entradas/silvia-sparks-el-show-de-humor-negro_e4865158/,El Golfo Comedy Club,Silvia Sparks El Show De Humor Negro,55,6
/entradas/open-open-mic-el-micro-abierto-mas-abierto-_e4864819/,El Golfo Comedy Club,Open Open Mic El Micro Abierto Mas Abierto ,1084,109
/entradas/eva-cabezas-a-las-calles_e4861199/,El Golfo Comedy Club,Eva Cabezas A Las Calles,14,2
