nombre_show,tipo_show,precio,duracion,local,nota_atrapalo,numero_opiniones
Monólogos en la Chocita del Loro Carabanchel,show,10.0,80.0,Teatro Chocita del Loro - Carabanchel,8.9,5208.0
Ladys Night en Beer Station,show,11.0,70.0,Beer Station,9.4,89.0
El Dojo Comedia,open_mic,8.0,70.0,El Golfo Comedy Club,9.6,150.0
Chic  Comedy - Monólogos,open_mic,3.5,80.0,Estupenda Bar,9.0,194.0
Punch Comedy English.- Stand up Comedy in English,open_mic,7.0,90.0,El Golfo Comedy Club,9.3,26.0
Comedy Rally,open_mic,7.0,90.0,Estación Malasaña,9.1,73.0
Probando material,open_mic,7.0,95.0,El Golfo Comedy Club,8.3,12.0
Stand Up en el momento,open_mic,5.0,70.0,El Golfo Comedy Club,9.2,9.0
Jaja Party - Presentado por Javi Durán,open_mic,8.0,60.0,Beer Station,8.5,6.0
La Hora y Media de El Club de la Comedia Madrid,show,22.0,90.0,Teatro Príncipe Gran Vía,8.7,3930.0
"No cruces los brazos, David Cepo",show,17.0,75.0,Teatro Arlequín Gran Vía,9.6,153.0
"Esto no es un show, con Galder Varas en Madrid",show,16.0,100.0,Teatro Alcázar,9.7,365.0
"Buenrollistas - Víctor Parrado, en Madrid",show,14.0,100.0,Cinesa Fuencarral,9.7,554.0
Intermitente - Carlos Martínez,show,7.9,60.0,Abonavida,9.8,68.0
"Aguántame el cubata, que me da la risa - Juan Aroca",show,12.0,65.0,Teatro de las Aguas,9.5,807.0
Oye Siri. Dime Joan,show,12.0,65.0,Teatro de las Aguas,9.5,107.0
Solo para Parejas - Los mejores monólogos de Madrid,show,13.0,60.0,Estación Malasaña,9.9,1204.0
Ultrashow - Miguel Noguera en Madrid,show,14.9,75.0,Teatros Luchana,9.0,154.0
"Karim - Sólo para adultos, en Madrid",show,14.9,70.0,Teatros Luchana,9.4,1370.0
"Hij@s, el club de los malos padres",show,14.9,75.0,Teatros Luchana,9.4,878.0
Lago - Comedy Club,show,21.0,60.0,Teatro Alcázar,9.2,126.0
Imbécil - Alex ODogherty,show,16.0,60.0,Teatro Capitol Gran Vía,9.4,540.0
"Miss Tupper Sex, en Madrid",show,18.0,90.0,Pequeño Teatro Gran Vía de Madrid,9.2,1209.0
Los 30 son los nuevos. ¡Vete a la mierda!,show,12.0,90.0,The Mun,9.6,154.0
El Micro de las Aguas. Open Mic,open_mic,10.0,75.0,Teatro de las Aguas,10.0,18.0
Asaari Bibang. Humor Negra.,show,11.0,70.0,El Golfo Comedy Club,9.8,100.0
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",show,20.0,70.0,Gran teatro Caixabank Príncipe Pío,9.0,3365.0
Hardcore - Patricia Galván,show,13.0,75.0,Beer Station,9.7,125.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Arde Murcia,show,10.0,75.0,Abonavida,9.8,50.0
Arde Murcia,show,10.0,60.0,Clandestino Café Teatro,9.9,35.0
Es mi palabra contra la mía - Luís Piedrahita,show,15.2,90.0,Teatro Reina Victoria,9.4,1114.0
"Dani Alés - Tabú, un monólogo inadecuado",show,14.0,70.0,Beer Station,9.5,107.0
"Tinder Sorpresa - Andreu Casanova, en Madrid",show,16.0,90.0,Cine Palacio de la Prensa,9.1,1822.0
La España Vaciada,show,14.0,90.0,Cinesa Fuencarral,9.9,14.0
"Stand Up Comedy, In English",show,10.0,75.0,Teatro de las Aguas,9.7,118.0
Comedia Subterránea. Open Mic,open_mic,7.0,60.0,Teatro de las Aguas,9.8,24.0
