fecha,nota_total,grupo_de,calidad_del_espectáculo,puesta_en_escena,interpretación_artística,nombre_show,nombre_local
2023-05-14,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-07,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-14,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-18,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-07-13,10,Solo,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-15,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-11,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-28,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-02,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-02,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-19,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-09,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-22,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-17,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-02,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-03,9.1,Pareja,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-19,10,Solo,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-20,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-25,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-04,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-11,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-16,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
